"ID";"PersonalCharacteristics";"Countries";"Periods";"Parliament_5";"EuropeanParliament_7";"UnitedNations_8";"Parliament_13";"EuropeanParliament_15";"UnitedNations_16"
"255";"3000   ";"L008552";"2016JJ00";"     4.7";"     4.5";"     5.3";"      44";"      38";"      52"
"287";"3000   ";"L008592";"2016JJ00";"     5.5";"     4.3";"     4.9";"      53";"      30";"      41"
"303";"3000   ";"L008604";"2016JJ00";"     5.7";"     5.0";"     6.2";"      60";"      45";"      67"
"311";"3000   ";"L008605";"2016JJ00";"     4.0";"     3.5";"     4.8";"      27";"      21";"      41"
"327";"3000   ";"L008627";"2016JJ00";"     4.4";"     4.3";"     5.0";"      32";"      32";"      42"
"391";"3000   ";"L008691";"2016JJ00";"     5.6";"     4.4";"     5.7";"      62";"      37";"      61"
"423";"3000   ";"L008718";"2016JJ00";"     3.5";"     3.7";"     4.9";"      19";"      22";"      40"
"447";"3000   ";"L008744";"2016JJ00";"     3.4";"     3.9";"     4.2";"      21";"      25";"      30"
"463";"3000   ";"L008749";"2016JJ00";"     4.0";"     4.2";"     4.6";"      30";"      32";"      38"
"471";"3000   ";"L008764";"2016JJ00";"     4.3";"     4.0";"     4.9";"      33";"      29";"      45"
"487";"3000   ";"L008790";"2016JJ00";"     6.1";"     4.7";"     6.2";"      63";"      37";"      65"
"503";"4000   ";"L008552";"2016JJ00";"     4.8";"     4.8";"     5.3";"      41";"      40";"      49"
"535";"4000   ";"L008592";"2016JJ00";"     5.2";"     4.6";"     4.9";"      45";"      34";"      39"
"551";"4000   ";"L008604";"2016JJ00";"     5.8";"     5.4";"     6.5";"      59";"      53";"      73"
"559";"4000   ";"L008605";"2016JJ00";"     4.1";"     3.9";"     4.9";"      24";"      24";"      40"
"575";"4000   ";"L008627";"2016JJ00";"     4.6";"     4.5";"     5.0";"      39";"      35";"      42"
"639";"4000   ";"L008691";"2016JJ00";"     5.5";"     4.9";"     5.7";"      58";"      44";"      61"
"671";"4000   ";"L008718";"2016JJ00";"     3.3";"     4.1";"     4.9";"      14";"      26";"      37"
"695";"4000   ";"L008744";"2016JJ00";"     3.3";"     4.0";"     4.4";"      15";"      27";"      32"
"711";"4000   ";"L008749";"2016JJ00";"     3.9";"     4.2";"     4.9";"      26";"      31";"      42"
"719";"4000   ";"L008764";"2016JJ00";"     4.4";"     4.3";"     5.1";"      30";"      34";"      47"
"735";"4000   ";"L008790";"2016JJ00";"     5.8";"     4.8";"     6.1";"      58";"      37";"      63"
